Name.Category,Description,Site
OpenAI,Generative AI,Leading AI research lab,https://www.openai.com
DeepMind,Research,AI for advanced problem solving,https://www.deepmind.com
IBM Watson,AI Tools,AI for business solutions,https://www.ibm.com/watson
Hugging Face,Generative AI,AI models and datasets,https://www.huggingface.co
RunwayML,Generative AI,Creative AI tools,https://www.runwayml.com
C3.ai,Enterprise AI,AI for enterprise applications,https://www.c3.ai
Clarifai,AI Tools,AI for image recognition,https://www.clarifai.com
DataRobot,AI Tools,Automated machine learning,https://www.datarobot.com
Synthesis AI,Generative AI,AI for synthetic data,https://www.synthesis.ai
Affectiva,AI Tools,AI for emotion recognition,https://www.affectiva.com
Vicarious,Research,AI for human-like intelligence,https://www.vicarious.com
Nvidia AI,AI Tools,AI hardware and software,https://www.nvidia.com/en-us/ai
Salesforce Einstein,Enterprise AI,AI for CRM solutions,https://www.salesforce.com/products/einstein
UiPath,AI Tools,Robotic process automation,https://www.uipath.com
CognitiveScale,Enterprise AI,AI for digital transformation,https://www.cognitivescale.com
OpenCV,AI Tools,Open-source computer vision,https://www.opencv.org
Algolia,AI Tools,AI-powered search and discovery,https://www.algolia.com
DeepAI,Generative AI,AI-powered image and text generation,https://www.deepai.org
X.AI,AI Tools,AI for scheduling meetings,https://www.x.ai
Replika,Generative AI,AI chatbot for companionship,https://www.replika.ai
